Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urban_share_2010;urban_share_2020;urban_share_2030;urban_share_2040;urban_share_2050;urban_share_2060;urban_share_2070;urban_share_2080;urban_share_2090;urban_share_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100;urbangrowthrate2020;urbangrowthrate2030;urbangrowthrate2040;urbangrowthrate2050;urbangrowthrate2060;urbangrowthrate2070;urbangrowthrate2080;urbangrowthrate2090;urbangrowthrate2100;Values
NER;Niger;SSP3_NER;15.512;22.413;32.577;46.265;63.821;83.939;105.193;127.013;148.38;168.308;17.109;19.188;21.153;22.963;24.591;26.029;27.279;28.351;29.262;30.029;2.65394808;4.30060644;6.89101281;10.6238319;15.6942221;21.8484823;28.6955985;36.0094556;43.4189556;50.5412093;1.62045613;1.60233514;1.54169383;1.47726566;1.39213541;1.31339093;1.25487732;1.2057654;1.16403558;NER
NGA;Nigeria;SSP3_NGA;158.423;205.735;268.276;345.292;433.684;525.149;614.306;699.857;780.003;853.597;49.803;52.679;55.092;57.114;58.806;60.225;61.418;62.422;63.269;63.987;78.8994067;108.379141;147.798614;197.210073;255.032213;316.270985;377.294459;436.864737;493.500098;546.191112;1.37363695;1.36371827;1.33431612;1.29320074;1.24012171;1.1929468;1.15788803;1.1296405;1.10677002;NGA
NIC;Nicaragua;SSP3_NIC;5.788;6.639;7.595;8.476;9.277;9.975;10.627;11.259;11.881;12.514;57.319;59.335;61.085;62.606;63.931;65.087;66.099;66.986;67.766;68.454;3.31762372;3.93925065;4.63940575;5.30648456;5.93087887;6.49242825;7.02434073;7.54195374;8.05127846;8.56633356;1.18737114;1.17773814;1.1437854;1.11766628;1.09468232;1.08192813;1.07368848;1.0675322;1.06397184;NIC
NLD;Netherlands;SSP3_NLD;16.613;16.99;16.963;16.561;15.857;15.03;14.201;13.322;12.332;11.295;82.861;85.521;87.913;90.02;91.84;93.386;94.679;95.746;96.617;97.321;13.7656979;14.5300179;14.9126822;14.9082122;14.5630688;14.0359158;13.4453648;12.7552821;11.9148084;10.9924069;1.05552352;1.02633612;0.999700256;0.976848773;0.963802066;0.957925723;0.94867505;0.934107794;0.922583607;NLD
NOR;Norway;SSP3_NOR;4.883;5.272;5.502;5.616;5.636;5.575;5.43;5.216;4.924;4.574;79.411;81.468;83.731;86.118;88.518;90.803;92.862;94.618;96.042;97.148;3.87763913;4.29499296;4.60687962;4.83638688;4.98887448;5.06226725;5.0424066;4.93527488;4.72910808;4.44354952;1.10763091;1.07261634;1.04981838;1.03152924;1.01471129;0.996076728;0.978753851;0.958225873;0.939616825;NOR
NPL;Nepal;SSP3_NPL;29.959;36.817;44.648;52.562;60.91;68.807;76.005;82.754;89.139;95.442;18.621;21.063;23.425;25.652;27.705;29.562;31.217;32.674;33.942;35.039;5.57866539;7.75476471;10.458794;13.4832042;16.8751155;20.3407253;23.7264808;27.039042;30.2555594;33.4419224;1.39007525;1.34869263;1.2891739;1.25156567;1.20536807;1.16645205;1.13961451;1.11895826;1.10531496;NPL
NZL;New Zealand;SSP3_NZL;4.368;4.75;4.957;5.036;5.015;4.9;4.721;4.484;4.182;3.847;86.2;88.356;89.948;91.167;92.129;92.906;93.545;94.08;94.534;94.924;3.765216;4.19691;4.45872236;4.59117012;4.62026935;4.552394;4.41625945;4.2185472;3.95341188;3.65172628;1.11465318;1.06238217;1.02970532;1.00633809;0.985309222;0.970096053;0.955230835;0.937150088;0.923689813;NZL
OMN;Oman;SSP3_OMN;2.782;3.33;3.895;4.418;4.914;5.358;5.761;6.208;6.724;7.276;73.035;74.346;75.528;76.596;77.564;78.444;79.247;79.981;80.653;81.272;2.0318337;2.4757218;2.9418156;3.38401128;3.81149496;4.20302952;4.56541967;4.96522048;5.42310772;5.91335072;1.21846675;1.18826582;1.15031387;1.12632454;1.10272467;1.08622118;1.08757154;1.09221891;1.09039891;OMN
PAK;Pakistan;SSP3_PAK;173.593;212.332;256.606;300.368;347.138;391.963;432.943;473.703;513.592;551.068;35.895;37.345;38.83;40.348;41.898;43.477;45.084;46.714;48.366;50.036;62.3112074;79.2953854;99.6401098;121.192481;145.443879;170.413754;195.188022;221.285619;248.403907;275.732384;1.2725702;1.25656883;1.21630216;1.20010646;1.17168047;1.14537717;1.13370491;1.1225488;1.1100163;PAK
PAN;Panama;SSP3_PAN;3.517;4.069;4.641;5.17;5.659;6.102;6.503;6.878;7.228;7.571;74.799;76.876;78.41;79.57;80.462;81.158;81.709;82.148;82.501;82.787;2.63068083;3.12808444;3.6390081;4.113769;4.55334458;4.95226116;5.31353627;5.65013944;5.96317228;6.26780377;1.1890779;1.16333436;1.13046437;1.10685471;1.08760957;1.07295155;1.06334824;1.05540268;1.05108548;PAN
