id,GL_newval,Uitleg_NVK,LHM_2_org,LHM_2_name_org,LHM_name_edit,LHM_name_edit_RP,Opmerking
98,99,nietBA_plaagongevoellig gras (beweiding),1,gras,grondgebonden_veeteelt,grondgebonden_veeteelt,
99,100,nietBA_plaagongevoellig gras (maaien) weidevogelbeheer,23,onbemest grasland,natuurlijk_gras,grondgebonden_veeteelt,"samengevoegd met natuurlijk gras: RP: lastig. Is redelijk areaal (10-20 kha). Ik vind het zuiverder om N-typen natuurlijk_gras te noemen. In N13.01 en N13.02 zal ook grondgebonden veeteelt zijn (denk ik, weet ik niet). Ik zou het hier dan niet natuur noemen"
100,101,nietBA_plaagongevoellig gras (maaien),1,gras,grondgebonden_veeteelt,grondgebonden_veeteelt,
101,102,nietBA_plaagongevoellig overige gewassen,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
102,103,nietBA_plaaggevoellig vruchtbomen,9,boomgaard,boomgaard,boomgaard,
103,104,nietBA_plaaggevoellig bloemkool,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
104,105,nietBA_plaaggevoellig consumptieaardappelen,3,aardappelen,aardappelen,aardappelen,
105,106,nietBA_plaaggevoellig gras (maaien),1,gras,grondgebonden_veeteelt,grondgebonden_veeteelt,
106,107,nietBA_plaaggevoellig laanbomen,7,boomteelt,boomteelt,boomteelt,
107,108,nietBA_plaaggevoellig lelie,10,bollen,bollen,bollen,
108,109,nietBA_plaaggevoellig overige gewassen,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
109,110,nietBA_plaaggevoellig pootaardappelen,3,aardappelen,aardappelen,aardappelen,
110,111,nietBA_plaaggevoellig prei,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
111,112,nietBA_plaaggevoellig sla,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
112,113,nietBA_plaaggevoellig snijmais,2,mais,mais,mais,
113,114,nietBA_plaaggevoellig spruitkool,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
114,115,nietBA_plaaggevoellig suikerbieten,4,bieten,bieten,bieten,
115,116,nietBA_plaaggevoellig tulp,10,bollen,bollen,bollen,
116,117,nietBA_plaaggevoellig winterpeen,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
117,118,nietBA_plaaggevoellig wintertarwe,5,granen,granen,granen,
118,119,nietBA_plaaggevoellig zaaiuien,6,overige landbouwgewassen,overige_landbouwgewassen,overige_landbouwgewassen,
119,120,nietBA_plaaggevoellig zetmeelaardappelen,3,aardappelen,aardappelen,aardappelen,
120,121,nietBA_plaaggevoellig zomergerst,5,granen,granen,granen,
121,122,Weidevogelbeheer,23,onbemest grasland,natuurlijk_gras,grondgebonden_veeteelt,RP: lastig. Zeer klein areaal (300 ha). Zie ID 99
122,123,Zee,,,water,water,deze klasse miste
123,124,"Waterloop, meer, plas, evt met riet, in de stad",16,water,water,water,
124,125,"Meer, plas (evt met riet)",,,water,water,deze klasse miste
