stations_code, stations_naam,,,   
did     ,Didam                          ,12032  ,12395  ,0
dl      ,Dalfsen                        ,12032  ,12395  ,0
dld     ,Den Dolder                     ,12032  ,12395  ,0
dln     ,Dalen                          ,12032  ,12395  ,0
dmn     ,Diemen                         ,12032  ,12395  ,0
dmnz    ,Diemen Zuid                    ,12032  ,12395  ,0
dmp     ,Driemanspolder                 ,12032  ,12395  ,0
dn      ,Deurne                         ,12032  ,12395  ,0
dnw     ,Drunen (NS-bus)                ,12032  ,12395  ,0
domod   ,Domodossola                    ,12032  ,12395  ,0
dr      ,Dieren                         ,12032  ,12395  ,0
dresd   ,Dresden Hbf                    ,12032  ,12395  ,0
dresdn  ,Dresden-Neustadt               ,12032  ,12395  ,0
drh     ,Driehuis                       ,12032  ,12395  ,0
dron    ,Dronten                        ,12032  ,12395  ,0
drp     ,Dronryp                        ,12032  ,12395  ,0
dt      ,Delft                          ,12032  ,12395  ,0
dtc     ,Doetinchem                     ,12032  ,12395  ,0
dtch    ,Doetinchem De Huet             ,12032  ,12395  ,0
dtcp    ,Delft Campus                   ,12032  ,12395  ,0
duisb   ,Duisburg Hbf                   ,12032  ,12395  ,0
dussel  ,Dusseldorf Hbf                 ,12032  ,12395  ,0
dv      ,Deventer                       ,12032  ,12395  ,0
dvc     ,Deventer Colmschate            ,12032  ,12395  ,0
dvd     ,Duivendrecht                   ,12032  ,12395  ,0
dvn     ,Duiven                         ,12032  ,12395  ,0
dvnk    ,De Vink                        ,12032  ,12395  ,0
dwe     ,De Westereen                   ,12032  ,12395  ,0
dz      ,Delfzijl                       ,12032  ,12395  ,0
dzw     ,Delfzijl West                  ,12032  ,12395  ,0
eabg    ,Altenberge                     ,12032  ,12395  ,0
eahs    ,Ahaus                          ,12032  ,12395  ,0
ebbs    ,Ebbsfleet International        ,12032  ,12395  ,0
ebeo    ,Boenen                         ,12032  ,12395  ,0
ebft    ,Steinfurt-Burgsteinfurt        ,12032  ,12395  ,0
ebgo    ,Steinfurt-Borghorst            ,12032  ,12395  ,0
ebok    ,Bork (Westf)                   ,12032  ,12395  ,0
ec      ,Echt                           ,12032  ,12395  ,0
ecmf    ,Coesfeld (Westf)               ,12032  ,12395  ,0
ed      ,Ede-Wageningen                 ,12032  ,12395  ,0
edc     ,Ede Centrum                    ,12032  ,12395  ,0
edd     ,Dortmund-Derne                 ,12032  ,12395  ,0
edf     ,Eilendorf                      ,12032  ,12395  ,0
edkd    ,Dortmund-Kirchderne            ,12032  ,12395  ,0
edn     ,Eijsden                        ,12032  ,12395  ,0
edo     ,Dortmund Hbf                   ,12032  ,12395  ,0
edulh   ,Dulmen                         ,12032  ,12395  ,0
eem     ,Eemshaven                      ,12032  ,12395  ,0
eenp    ,Ennepetal                      ,12032  ,12395  ,0
eepe    ,Epe (Westf)                    ,12032  ,12395  ,0
egh     ,Eygelshoven                    ,12032  ,12395  ,0
eghm    ,Eygelshoven Markt              ,12032  ,12395  ,0
egrk    ,Steinfurt-Grottenkamp          ,12032  ,12395  ,0
ehai    ,Eindhoven Airport              ,12032  ,12395  ,0
ehs     ,Eindhoven Strijp-S             ,12032  ,12395  ,0
ehst    ,Eindhoven Stadion              ,12032  ,12395  ,0
ehv     ,Eindhoven Centraal             ,12032  ,12395  ,0
ehw     ,Rosendahl-Holtwick             ,12032  ,12395  ,0
ehzw    ,Holzwickede                    ,12032  ,12395  ,0
ekz     ,Enkhuizen                      ,12032  ,12395  ,0
el      ,Emmerich-Elten                 ,12032  ,12395  ,0
eldh    ,Ludinghausen                   ,12032  ,12395  ,0
elet    ,Lette (Kr Coesfeld)            ,12032  ,12395  ,0
elgd    ,Legden                         ,12032  ,12395  ,0
elue    ,Lunen Hbf                      ,12032  ,12395  ,0
em      ,Emmerich                       ,12032  ,12395  ,0
emg     ,Emmerich Grens                 ,12032  ,12395  ,0
eml     ,Ermelo                         ,12032  ,12395  ,0
emn     ,Emmen                          ,12032  ,12395  ,0
emnz    ,Emmen Zuid                     ,12032  ,12395  ,0
emte    ,Metelen Land                   ,12032  ,12395  ,0
enbe    ,Munster-Hager                  ,12032  ,12395  ,0
enhf    ,Munster (W) Zentrum Nord       ,12032  ,12395  ,0
enow    ,Nordwalde                      ,12032  ,12395  ,0
eop     ,Ochtrup                        ,12032  ,12395  ,0
epra    ,Praest                         ,12032  ,12395  ,0
eprn    ,Preussen                       ,12032  ,12395  ,0
eras    ,Erasmus uni. (NS-bus)          ,12032  ,12395  ,0
es      ,Enschede                       ,12032  ,12395  ,0
eschn   ,Eschweiler-Nothberg            ,12032  ,12395  ,0
escht   ,Eschweiler Talbahnhof          ,12032  ,12395  ,0
eschw   ,Eschweiler-West                ,12032  ,12395  ,0
ese     ,Enschede De Eschmarke          ,12032  ,12395  ,0
eseb    ,Selm-Beifang                   ,12032  ,12395  ,0
esem    ,Selm                           ,12032  ,12395  ,0
esk     ,Enschede Kennispark            ,12032  ,12395  ,0
esn     ,Essen (B)                      ,12032  ,12395  ,0
esrt    ,Schwerte (Ruhr)                ,12032  ,12395  ,0
est     ,Elst                           ,12032  ,12395  ,0
etn     ,Etten-Leur                     ,12032  ,12395  ,0
eun     ,Unna                           ,12032  ,12395  ,0
eweis   ,Eschweiler-Weisweiler          ,12032  ,12395  ,0
fbnl    ,Brussels Airport - Zaventem    ,12032  ,12395  ,0
