sbi08,omschr,sectie,afdeling,sbi08_3,sbi08_4,sector
1086,Vervaardiging van gehomogeniseerde voedingspreparaten,C,10,108,1086,02
1089,Vervaardiging van overige voedingsmiddelen (rest),C,10,108,1089,02
1091,Vervaardiging van veevoeders,C,10,109,1091,02
1092,Vervaardiging van voeders voor huisdieren,C,10,109,1092,02
1101,Vervaardiging van sterk alcoholische dranken,C,11,110,1101,02
1102,Vervaardiging van wijn uit druiven,C,11,110,1102,02
1103,Vervaardiging van cider en van overige vruchtenwijnen,C,11,110,1103,02
1104,Vervaardiging v. overige niet-gedistilleerde gegiste dranken,C,11,110,1104,02
1105,Vervaardiging van bier,C,11,110,1105,02
1106,Mouterijen,C,11,110,1106,02
1107,Vervaardiging van frisdranken; productie van mineraalwater,C,11,110,1107,02
1200,Vervaardiging van tabaksproducten,C,12,120,1200,02
1310,Bewerken en spinnen van textielvezels,C,13,131,1310,02
1320,Weven van textiel,C,13,132,1320,02
1330,Textielveredeling,C,13,133,1330,02
1391,Vervaardiging van gebreide en gehaakte stoffen,C,13,139,1391,02
1392,Vervaardiging van geconfectioneerde artikelen van textiel,C,13,139,1392,02
1393,Vervaardiging van vloerkleden en tapijt,C,13,139,1393,02
1394,"Vervaardiging van koord, bindgaren, touw en netten",C,13,139,1394,02
1395,Vervaardiging van gebonden textielvlies en artikelen daarvan,C,13,139,1395,02
1396,Vervaardiging van technisch en industrieel textiel,C,13,139,1396,02
1399,Vervaardiging van overige textielproducten (rest),C,13,139,1399,02
1411,Vervaardiging van kleding van leer,C,14,141,1411,02
1412,Vervaardiging van werkkleding,C,14,141,1412,02
1413,Vervaardiging van overige bovenkleding,C,14,141,1413,02
1414,Vervaardiging van onderkleding,C,14,141,1414,02
1419,"Vervaardiging van baby- en sportkleding, kledingaccessoires",C,14,141,1419,02
1420,Vervaardiging van artikelen van bont,C,14,142,1420,02
1431,Vervaardiging van gebreide en gehaakte kousen en sokken,C,14,143,1431,02
1439,Vervaardiging van gebreide en gehaakte kleding,C,14,143,1439,02
1511,Looien en bewerken van leer; bereiden en verven van bont,C,15,151,1511,02
1512,"Vervaardiging van koffers, tassen e.d.",C,15,151,1512,02
1520,Vervaardiging van schoenen,C,15,152,1520,02
16101,Zagen en schaven en overige primaire houtbewerking,C,16,161,1610,02
16102,Verduurzamen van hout,C,16,161,1610,02
1621,Vervaardiging van fineer en plaatmateriaal op basis van hout,C,16,162,1621,02
1622,Vervaardiging van panelen voor parketvloeren,C,16,162,1622,02
16231,"Vervaardiging van deuren, ramen en kozijnen van hout",C,16,162,1623,02
16239,Vervaardiging van overig timmerwerk voor de bouw,C,16,162,1623,02
1624,Vervaardiging van houten emballage,C,16,162,1624,02
1629,Vervaardiging van overige artikelen van hout,C,16,162,1629,02
1711,Vervaardiging van papierpulp,C,17,171,1711,02
17121,Vervaardiging van grafisch papier en karton,C,17,171,1712,02
17122,Vervaardiging van papier en karton voor verpakking,C,17,171,1712,02
