SBI08_5,Omschrijving
2680,2680: Vervaardiging van informatiedragers
2711,"2711: Vervaardiging van elektromotoren, elektrische generatoren en transformatoren"
2712,2712: Vervaardiging van schakel- en verdeelinrichtingen
2720,2720: Vervaardiging van batterijen en accumulatoren
2731,2731: Vervaardiging van kabels van optische vezels
2732,2732: Vervaardiging van overige elektrische en elektronische kabel
2733,"2733: Vervaardiging van schakelaars, stekkers, stopcontacten e.d."
2740,2740: Vervaardiging van elektrische lampen en verlichtingsapparaten
2751,2751: Vervaardiging van elektrische huishoudapparaten
2752,2752: Vervaardiging van niet-elektrische huishoudapparaten
2790,2790: Vervaardiging van overige elektrische apparatuur
2811,"2811: Vervaardiging van motoren en turbines (niet voor vliegtuigen, motorvoertuigen en bromfietsen)"
2812,2812: Vervaardiging van hydraulische apparatuur
2813,2813: Vervaardiging van niet-hydraulische pompen en compressoren
2814,2814: Vervaardiging van appendages
2815,"2815: Vervaardiging van tandwielen, lagers en overige drijfwerkelementen"
2821,2821: Vervaardiging van industriële ovens en branders
2822,"2822: Vervaardiging van hijs-, hef- en transportwerktuigen"
2823,2823: Vervaardiging van kantoormachines en -apparatuur (geen computers en randapparatuur)
2824,2824: Vervaardiging van pneumatisch en elektrisch handgereedschap
2825,2825: Vervaardiging van machines en apparaten voor industriële koeltechniek en klimaatregeling
2829,2829: Vervaardiging van overige machines en apparaten voor algemeen gebruik (rest)
2830,2830: Vervaardiging van machines en werktuigen voor de land- en bosbouw
2841,2841: Vervaardiging van gereedschapswerktuigen voor metaalbewerking
2849,2849: Vervaardiging van gereedschapswerktuigen niet voor metaalbewerking
2891,2891: Vervaardiging van machines voor de metallurgie
2892,2892: Vervaardiging van machines voor de bouw en winning van delfstoffen
2893,2893: Vervaardiging van machines voor de productie van voedings- en genotmiddelen
2894,"2894: Vervaardiging van machines voor de productie van textiel, kleding en leer"
2895,2895: Vervaardiging van machines voor de productie van papier en karton
2896,2896: Vervaardiging van machines voor de kunststof- en rubberindustrie
2899,"2899: Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden (rest)"
2910,2910: Vervaardiging van auto's
29201,29201: Carrosseriebouw
29202,29202: Vervaardiging van aanhangwagens en opleggers
2931,2931: Vervaardiging van elektrische en elektronische onderdelen en toebehoren voor auto's
2932,2932: Vervaardiging van niet-elektrische en -elektronische onderdelen en toebehoren voor auto's
3011,3011: Bouw van schepen en drijvend materieel (geen sport- en recreatievaartuigen)
