"Region";"CountryName";"ISO1";"2010";"2020";"2030";"2040";"2050";"2060";"2070";"2080";"2090";"2100"
"NCL";"New Caledonia";540.00;1826.00;1778.89;1737.48;1702.07;1672.58;1648.64;1629.67;1615.01;1603.94;1595.77
"VUT";"Vanuatu";548.00;2892.03;3030.29;3117.91;3147.93;3142.19;3125.18;3097.51;3060.16;3014.43;2961.84
"NZL";"New Zealand";554.00;1186.77;1174.84;1163.29;1152.17;1141.48;1131.27;1121.53;1112.28;1103.53;1095.28
"NIC";"Nicaragua";558.00;8792.68;8649.18;8514.52;8389.47;8274.53;8169.91;8075.59;7991.35;7916.80;7851.42
"NER";"Niger";562.00;6203.59;6491.15;6728.72;6906.27;7016.06;7053.21;7046.12;7024.99;6990.24;6942.55
"NGA";"Nigeria";566.00;13570.74;14219.51;14630.67;14771.52;14744.59;14664.77;14534.95;14359.71;14145.11;13898.33
"NIU";"Niue";570.00;3826.05;3727.35;3640.58;3566.39;3504.59;3454.42;3414.69;3383.97;3360.77;3343.66
"NFK";"Norfolk Island";574.00;5001.92;4884.16;4772.72;4669.45;4575.62;4491.96;4418.70;4355.65;4302.30;4257.91
"NOR";"Norway";578.00;2315.83;2275.54;2237.97;2203.34;2171.80;2143.39;2118.08;2095.76;2076.29;2059.47
"MNP";"Northern Mariana Islands";580.00;252.77;227.87;212.27;205.42;203.23;202.71;202.62;202.61;202.61;202.61
"FSM";"Micronesia (Federated States of)";583.00;3501.40;3156.49;2940.51;2845.55;2815.21;2808.04;2806.78;2806.62;2806.60;2806.60
"MHL";"Marshall Islands";584.00;1371.14;1360.94;1331.82;1287.92;1235.01;1179.33;1126.34;1079.94;1042.23;1013.58
"PLW";"Palau";585.00;1287.09;1256.78;1228.11;1201.53;1177.39;1155.86;1137.01;1120.79;1107.06;1095.64
"PAK";"Pakistan";586.00;12939.86;12570.16;11933.91;11190.96;10493.31;9937.67;9553.35;9319.54;9193.48;9132.96
"PAN";"Panama";591.00;4488.32;4372.53;4270.75;4183.71;4111.22;4052.37;4005.75;3969.71;3942.50;3922.43
"PNG";"Papua New Guinea";598.00;6000.96;6287.85;6469.66;6531.95;6520.04;6484.74;6427.33;6349.84;6254.95;6145.82
"PRY";"Paraguay";600.00;8706.30;8564.20;8430.86;8307.05;8193.24;8089.64;7996.25;7912.84;7839.02;7774.28
"PER";"Peru";604.00;10922.96;10686.46;10471.85;10280.74;10113.62;9970.03;9848.73;9747.96;9665.61;9599.36
"PHL";"Philippines";608.00;10286.42;9992.53;9486.76;8896.15;8341.56;7899.86;7594.35;7408.48;7308.27;7260.16
"PCN";"Pitcairn Island";612.00;104.15;107.36;110.32;112.99;115.32;117.28;118.83;119.96;120.65;120.88
"POL";"Poland";616.00;3632.50;3562.02;3494.22;3429.94;3369.80;3314.29;3263.68;3218.10;3177.54;3141.85
"PRT";"Portugal";620.00;3200.88;3125.51;3054.20;2988.12;2928.07;2874.54;2827.65;2787.30;2753.17;2724.76
"GNB";"Guinea-Bissau";624.00;4653.40;4195.01;3907.97;3781.77;3741.44;3731.92;3730.24;3730.02;3730.00;3730.00
"TLS";"Timor-Leste";626.00;183.91;182.54;178.64;172.75;165.65;158.18;151.07;144.85;139.79;135.95
"PRI";"Puerto Rico";630.00;1287.09;1256.78;1228.11;1201.53;1177.39;1155.86;1137.01;1120.79;1107.06;1095.64
"QAT";"Qatar";634.00;2540.01;2495.82;2454.61;2416.64;2382.04;2350.88;2323.12;2298.64;2277.28;2258.84
"REU";"Reunion";638.00;4269.21;4178.36;4091.59;4010.12;3934.87;3866.42;3805.10;3750.94;3703.77;3663.25
"ROU";"Romania";642.00;7096.66;6913.59;6752.65;6615.03;6500.41;6407.36;6333.65;6276.67;6233.65;6201.91
"RUS";"Russian Federation";643.00;5172.50;5039.06;4921.76;4821.46;4737.92;4670.09;4616.37;4574.84;4543.48;4520.35
"RWA";"Rwanda";646.00;10233.59;10623.53;10915.49;11096.27;11157.48;11145.80;11110.99;11053.77;10975.34;10877.27
