Region;name;Key;population_to_use_2010;population_to_use_2020;population_to_use_2030;population_to_use_2040;population_to_use_2050;population_to_use_2060;population_to_use_2070;population_to_use_2080;population_to_use_2090;population_to_use_2100;urbanpop2010;urbanpop2020;urbanpop2030;urbanpop2040;urbanpop2050;urbanpop2060;urbanpop2070;urbanpop2080;urbanpop2090;urbanpop2100
UKR;Ukraine;SSP2_UKR;45.448;42.939;41.094;39.814;38.882;38.119;37.153;35.906;34.454;32.836;22.23174;22.0859811;22.0560681;22.1567352;22.3171645;22.4666495;22.4019442;22.080551;21.551974;20.8466982
URY;Uruguay;SSP2_URY;3.369;3.426;3.449;3.418;3.332;3.202;3.059;2.912;2.767;2.63;2.05355725;2.11095042;2.14505881;2.14303571;2.10374152;2.03386142;1.95315153;1.86762297;1.78148404;1.69889548
USA;United States;SSP2_USA;310.384;335.751;361.029;383.233;402.305;420.93;437.638;449.545;456.212;458.56;162.861936;182.113489;201.384166;218.850253;234.292534;249.162792;262.569077;272.72857;279.315852;282.867531
UZB;Uzbekistan;SSP2_UZB;27.445;30.163;32.084;33.089;33.475;33.039;32.157;31.023;29.755;28.604;7.6349585;9.77682506;11.804288;13.5126372;14.8937053;15.7740971;16.2750447;16.4815979;16.4638141;16.3797334
VCT;Saint Vincent and the Grenadines;SSP2_VCT;0.109;0.11;0.11;0.108;0.104;0.1;0.095;0.09;0.085;0.081;0.0133584521;0.0152059984;0.0166331066;0.0174756027;0.017728041;0.0177557474;0.017424734;0.0169472383;0.0163550115;0.0158679036
VEN;Venezuela;SSP2_VEN;28.98;33.203;36.864;39.729;41.714;42.833;43.081;42.52;41.381;39.817;13.530823;15.8653999;17.8892698;19.4788893;20.5916971;21.2391974;21.4253031;21.187347;20.6462848;19.8824849
VIR;Virgin Islands U.S.;SSP2_VIR;0.109;0.114;0.118;0.119;0.117;0.116;0.114;0.112;0.108;0.103;0.0353416641;0.0378218287;0.0396573274;0.0402578692;0.0397074925;0.0394273302;0.0387747073;0.0381066468;0.0367512085;0.0350522175
VNM;Vietnam;SSP2_VNM;87.848;96.408;101.958;104.65;104.376;101.329;96.537;90.54;84.128;78.267;17.32097;22.8556689;28.2384816;32.9927791;36.6241579;38.8327772;39.7857493;39.6259629;38.7072572;37.5482652
VUT;Vanuatu;SSP2_VUT;0.24;0.294;0.346;0.393;0.433;0.463;0.483;0.492;0.491;0.482;0;0;0;0;0;0;0;0;0;0
WSM;Samoa;SSP2_WSM;0.183;0.187;0.186;0.181;0.171;0.159;0.149;0.142;0.138;0.135;0;0;0;0;0;0;0;0;0;0
YEM;Yemen;SSP2_YEM;24.053;31.976;40.189;48.512;56.604;63.356;68.828;73.038;75.813;77.281;3.157255;5.0904638;7.45804742;10.1560874;13.0271674;15.71233;18.1156485;20.1666762;21.7652213;22.9107247
ZAF;South Africa;SSP2_ZAF;50.133;54.797;58.585;61.254;63.045;64.042;64.028;62.884;61;58.484;25.673972;30.5411835;34.7773281;38.1502517;40.7612116;42.6533352;43.6797536;43.7542369;43.1471073;41.9460727
ZMB;Zambia;SSP2_ZMB;13.089;16.968;21.368;25.906;30.104;33.86;37.072;39.766;41.931;43.433;3.7012905;5.62109292;8.06811902;10.8895966;13.8159051;16.7001349;19.4015911;21.8603356;24.0166132;25.7520737
ZWE;Zimbabwe;SSP2_ZWE;12.571;13.075;13.327;13.31;13.124;12.769;12.422;12.064;11.743;11.481;2.83545775;3.4113137;3.91946361;4.31753308;4.61269308;4.79336999;4.92363574;5.00288818;5.05782608;5.10589096
